"icd_code","long_title"
"80154  ","Open fracture of base of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80155  ","Open fracture of base of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80156  ","Open fracture of base of skull without mention of intracranial injury, with loss of consciousness of unspecified duration"
"80159  ","Open fracture of base of skull without mention of intracranial injury, with concussion, unspecified"
"80180  ","Open fracture of base of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness"
"80181  ","Open fracture of base of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness"
"80182  ","Open fracture of base of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
"80183  ","Open fracture of base of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness"
"80184  ","Open fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80185  ","Open fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80186  ","Open fracture of base of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration"
"80189  ","Open fracture of base of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified"
"80190  ","Open fracture of base of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness"
"80191  ","Open fracture of base of skull with intracranial injury of other and unspecified nature, with no loss of consciousness"
"80192  ","Open fracture of base of skull with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness"
"80193  ","Open fracture of base of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness"
"80194  ","Open fracture of base of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80195  ","Open fracture of base of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80196  ","Open fracture of base of skull with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration"
"80199  ","Open fracture of base of skull with intracranial injury of other and unspecified nature, with concussion, unspecified"
"80300  ","Other closed skull fracture without mention of intracranial injury, unspecified state of consciousness"
"80301  ","Other closed skull fracture without mention of intracranial injury, with no loss of consciousness"
"80302  ","Other closed skull fracture without mention of intracranial injury, with brief [less than one hour] loss of consciousness"
"80303  ","Other closed skull fracture without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness"
"80304  ","Other closed skull fracture without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80305  ","Other closed skull fracture without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80306  ","Other closed skull fracture without mention of intracranial injury, with loss of consciousness of unspecified duration"
"80309  ","Other closed skull fracture without mention of intracranial injury, with concussion, unspecified"
"80330  ","Other closed skull fracture with other and unspecified intracranial hemorrhage, unspecified state of unconsciousness"
"80331  ","Other closed skull fracture with other and unspecified intracranial hemorrhage, with no loss of consciousness"
"80332  ","Other closed skull fracture with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
"80333  ","Other closed skull fracture with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness"
"80334  ","Other closed skull fracture with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80335  ","Other closed skull fracture with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80336  ","Other closed skull fracture with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration"
"80339  ","Other closed skull fracture with other and unspecified intracranial hemorrhage, with concussion, unspecified"
"80340  ","Other closed skull fracture with intracranial injury of other and unspecified nature, unspecified state of consciousness"
"80341  ","Other closed skull fracture with intracranial injury of other and unspecified nature, with no loss of consciousness"
"80342  ","Other closed skull fracture with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness"
"80343  ","Other closed skull fracture with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness"
"80344  ","Other closed skull fracture with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80345  ","Other closed skull fracture with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80346  ","Other closed skull fracture with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration"
"80349  ","Other closed skull fracture with intracranial injury of other and unspecified nature, with concussion, unspecified"
"80351  ","Other open skull fracture without mention of intracranial injury, with no loss of consciousness"
"80352  ","Other open skull fracture without mention of intracranial injury, with brief [less than one hour] loss of consciousness"
"80353  ","Other open skull fracture without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness"
"80354  ","Other open skull fracture without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80355  ","Other open skull fracture without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80356  ","Other open skull fracture without mention of intracranial injury, with loss of consciousness of unspecified duration"
"80359  ","Other open skull fracture without mention of intracranial injury, with concussion, unspecified"
"80380  ","Other open skull fracture with other and unspecified intracranial hemorrhage, unspecified state of consciousness"
"80381  ","Other open skull fracture with other and unspecified intracranial hemorrhage, with no loss of consciousness"
"80382  ","Other open skull fracture with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
"80383  ","Other open skull fracture with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness"
"80384  ","Other open skull fracture with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80385  ","Other open skull fracture with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80386  ","Other open skull fracture with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration"
"80389  ","Other open skull fracture with other and unspecified intracranial hemorrhage, with concussion, unspecified"
"80390  ","Other open skull fracture with intracranial injury of other and unspecified nature, unspecified state of consciousness"
"80391  ","Other open skull fracture with intracranial injury of other and unspecified nature, with no loss of consciousness"
"80392  ","Other open skull fracture with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness"
"80393  ","Other open skull fracture with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness"
"80394  ","Other open skull fracture with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80395  ","Other open skull fracture with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80396  ","Other open skull fracture with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration"
"80399  ","Other open skull fracture with intracranial injury of other and unspecified nature, with concussion, unspecified"
"80400  ","Closed fractures involving skull or face with other bones, without mention of intracranial injury, unspecified state of consciousness"
"80401  ","Closed fractures involving skull or face with other bones, without mention of intracranial injury, with no loss of consciousness"
"80402  ","Closed fractures involving skull or face with other bones, without mention of intracranial injury, with brief [less than one hour] loss of consciousness"
"80403  ","Closed fractures involving skull or face with other bones, without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness"
"80404  ","Closed fractures involving skull or face with other bones, without mention or intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80405  ","Closed fractures involving skull of face with other bones, without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80406  ","Closed fractures involving skull of face with other bones, without mention of intracranial injury, with loss of consciousness of unspecified duration"
"80409  ","Closed fractures involving skull of face with other bones, without mention of intracranial injury, with concussion, unspecified"
"80430  ","Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, unspecified state of consciousness"
"80431  ","Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with no loss of consciousness"
"80432  ","Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
"80433  ","Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness"
"80434  ","Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre- existing conscious level"
"80435  ","Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80436  ","Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration"
"80439  ","Closed fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with concussion, unspecified"
"80440  ","Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, unspecified state of consciousness"
"80441  ","Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with no loss of consciousness"
"80442  ","Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness"
"80443  ","Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness"
"80444  ","Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80445  ","Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80446  ","Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration"
"80449  ","Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with concussion, unspecified"
"80450  ","Open fractures involving skull or face with other bones, without mention of intracranial injury, unspecified state of consciousness"
"80451  ","Open fractures involving skull or face with other bones, without mention of intracranial injury, with no loss of consciousness"
"80452  ","Open fractures involving skull or face with other bones, without mention of intracranial injury, with brief [less than one hour] loss of consciousness"
"80453  ","Open fractures involving skull or face with other bones, without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness"
"80454  ","Open fractures involving skull or face with other bones, without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80455  ","Open fractures involving skull or face with other bones, without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"80456  ","Open fractures involving skull or face with other bones, without mention of intracranial injury, with loss of consciousness of unspecified duration"
"80459  ","Open fractures involving skull or face with other bones, without mention of intracranial injury, with concussion, unspecified"
"80480  ","Open fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, unspecified state of consciousness"
"80481  ","Open fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with no loss of consciousness"
"80482  ","Open fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
"80483  ","Open fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness"
"80484  ","Open fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80485  ","Open fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss consciousness, without return to pre-existing conscious level"
"80486  ","Open fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration"
"80489  ","Open fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with concussion, unspecified"
"80490  ","Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, unspecified state of consciousness"
"80491  ","Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with no loss of consciousness"
"80492  ","Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness"
"80493  ","Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness"
"80494  ","Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"80495  ","Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
"80496  ","Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration"
"80499  ","Open fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with concussion, unspecified"
"85100  ","Cortex (cerebral) contusion without mention of open intracranial wound, unspecified state of consciousness"
"85101  ","Cortex (cerebral) contusion without mention of open intracranial wound, with no loss of consciousness"
"85102  ","Cortex (cerebral) contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness"
"85103  ","Cortex (cerebral) contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness"
"85104  ","Cortex (cerebral) contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"85105  ","Cortex (cerebral) contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
"85106  ","Cortex (cerebral) contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration"
"85109  ","Cortex (cerebral) contusion without mention of open intracranial wound, with concussion, unspecified"
"85110  ","Cortex (cerebral) contusion with open intracranial wound, unspecified state of consciousness"
"85111  ","Cortex (cerebral) contusion with open intracranial wound, with no loss of consciousness"
"85112  ","Cortex (cerebral) contusion with open intracranial wound, with brief [less than one hour] loss of consciousness"
"85113  ","Cortex (cerebral) contusion with open intracranial wound, with moderate [1-24 hours] loss of consciousness"
"85114  ","Cortex (cerebral) contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"85115  ","Cortex (cerebral) contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
"85116  ","Cortex (cerebral) contusion with open intracranial wound, with loss of consciousness of unspecified duration"
"85119  ","Cortex (cerebral) contusion with open intracranial wound, with concussion, unspecified"
"85120  ","Cortex (cerebral) laceration without mention of open intracranial wound, unspecified state of consciousness"
"85121  ","Cortex (cerebral) laceration without mention of open intracranial wound, with no loss of consciousness"
"85122  ","Cortex (cerebral) laceration without mention of open intracranial wound, with brief [less than one hour] loss of consciousness"
"85123  ","Cortex (cerebral) laceration without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness"
"85124  ","Cortex (cerebral) laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"85125  ","Cortex (cerebral) laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
"85126  ","Cortex (cerebral) laceration without mention of open intracranial wound, with loss of consciousness of unspecified duration"
"85129  ","Cortex (cerebral) laceration without mention of open intracranial wound, with concussion, unspecified"
"85130  ","Cortex (cerebral) laceration with open intracranial wound, unspecified state of consciousness"
"85131  ","Cortex (cerebral) laceration with open intracranial wound, with no loss of consciousness"
"85132  ","Cortex (cerebral) laceration with open intracranial wound, with brief [less than one hour] loss of consciousness"
"85133  ","Cortex (cerebral) laceration with open intracranial wound, with moderate [1-24 hours] loss of consciousness"
"85134  ","Cortex (cerebral) laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"85135  ","Cortex (cerebral) laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
"85136  ","Cortex (cerebral) laceration with open intracranial wound, with loss of consciousness of unspecified duration"
"85139  ","Cortex (cerebral) laceration with open intracranial wound, with concussion, unspecified"
"85140  ","Cerebellar or brain stem contusion without mention of open intracranial wound, unspecified state of consciousness"
"85141  ","Cerebellar or brain stem contusion without mention of open intracranial wound, with no loss of consciousness"
"85142  ","Cerebellar or brain stem contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness"
"85143  ","Cerebellar or brain stem contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness"
"85144  ","Cerebellar or brain stem contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss consciousness and return to pre-existing conscious level"
"85145  ","Cerebellar or brain stem contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
"85146  ","Cerebellar or brain stem contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration"
"85149  ","Cerebellar or brain stem contusion without mention of open intracranial wound, with concussion, unspecified"
"85150  ","Cerebellar or brain stem contusion with open intracranial wound, unspecified state of consciousness"
"85151  ","Cerebellar or brain stem contusion with open intracranial wound, with no loss of consciousness"
"85152  ","Cerebellar or brain stem contusion with open intracranial wound, with brief [less than one hour] loss of consciousness"
"85153  ","Cerebellar or brain stem contusion with open intracranial wound, with moderate [1-24 hours] loss of consciousness"
"85154  ","Cerebellar or brain stem contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"85155  ","Cerebellar or brain stem contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
"85156  ","Cerebellar or brain stem contusion with open intracranial wound, with loss of consciousness of unspecified duration"
"85159  ","Cerebellar or brain stem contusion with open intracranial wound, with concussion, unspecified"
"85160  ","Cerebellar or brain stem laceration without mention of open intracranial wound, unspecified state of consciousness"
"85161  ","Cerebellar or brain stem laceration without mention of open intracranial wound, with no loss of consciousness"
"85162  ","Cerebellar or brain stem laceration without mention of open intracranial wound, with brief [less than 1 hour] loss of consciousness"
"85163  ","Cerebellar or brain stem laceration without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness"
"85164  ","Cerebellar or brain stem laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"85165  ","Cerebellar or brain stem laceration without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
"85166  ","Cerebellar or brain stem laceration without mention of open intracranial wound, with loss of consciousness of unspecified duration"
"85169  ","Cerebellar or brain stem laceration without mention of open intracranial wound, with concussion, unspecified"
"85170  ","Cerebellar or brain stem laceration with open intracranial wound, unspecified state of consciousness"
"85171  ","Cerebellar or brain stem laceration with open intracranial wound, with no loss of consciousness"
"85172  ","Cerebellar or brain stem laceration with open intracranial wound, with brief [less than one hour] loss of consciousness"
"85173  ","Cerebellar or brain stem laceration with open intracranial wound, with moderate [1-24 hours] loss of consciousness"
"85174  ","Cerebellar or brain stem laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"85175  ","Cerebellar or brain stem laceration with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
"85176  ","Cerebellar or brain stem laceration with open intracranial wound, with loss of consciousness of unspecified duration"
"85179  ","Cerebellar or brain stem laceration with open intracranial wound, with concussion, unspecified"
"85180  ","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, unspecified state of consciousness"
"85181  ","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with no loss of consciousness"
"85182  ","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with brief [less than one hour] loss of consciousness"
"85183  ","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness"
"85184  ","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre- existing conscious level"
"85185  ","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level"
"85186  ","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration"
"85189  ","Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with concussion, unspecified"
"85190  ","Other and unspecified cerebral laceration and contusion, with open intracranial wound, unspecified state of consciousness"
"85191  ","Other and unspecified cerebral laceration and contusion, with open intracranial wound, with no loss of consciousness"
